"","start.year","start.month","start.dayofweek","start.hour","Member.type","total.rides","avg.duration"
"1",2015,"December","Friday",0,"Casual",7,19.1857142857143
"2",2015,"December","Friday",0,"Member",60,20.477
"3",2015,"December","Friday",1,"Casual",2,15.565
"4",2015,"December","Friday",1,"Member",55,9.46818181818182
"5",2015,"December","Friday",2,"Casual",3,21.53
"6",2015,"December","Friday",2,"Member",16,11.18
"7",2015,"December","Friday",3,"Casual",4,23.6825
"8",2015,"December","Friday",3,"Member",4,8.9025
"9",2015,"December","Friday",4,"Casual",3,15.9033333333333
"10",2015,"December","Friday",4,"Member",5,14.07
"11",2015,"December","Friday",5,"Casual",2,23.065
"12",2015,"December","Friday",5,"Member",56,10.1142857142857
"13",2015,"December","Friday",6,"Casual",4,22.265
"14",2015,"December","Friday",6,"Member",184,10.85625
"15",2015,"December","Friday",7,"Casual",9,23.2155555555556
"16",2015,"December","Friday",7,"Member",598,10.7130769230769
"17",2015,"December","Friday",8,"Casual",33,29.2206060606061
"18",2015,"December","Friday",8,"Member",975,11.7257641025641
"19",2015,"December","Friday",9,"Casual",36,37.6819444444444
"20",2015,"December","Friday",9,"Member",484,11.4264256198347
"21",2015,"December","Friday",10,"Casual",42,43.4602380952381
"22",2015,"December","Friday",10,"Member",244,11.5813114754098
"23",2015,"December","Friday",11,"Casual",87,37.0088505747126
"24",2015,"December","Friday",11,"Member",319,11.4992789968652
"25",2015,"December","Friday",12,"Casual",70,38.6891428571429
"26",2015,"December","Friday",12,"Member",309,10.562427184466
"27",2015,"December","Friday",13,"Casual",81,45.3241975308642
"28",2015,"December","Friday",13,"Member",352,10.0675568181818
"29",2015,"December","Friday",14,"Casual",84,28.625119047619
"30",2015,"December","Friday",14,"Member",316,13.5205063291139
"31",2015,"December","Friday",15,"Casual",73,35.7784931506849
"32",2015,"December","Friday",15,"Member",396,11.3381565656566
"33",2015,"December","Friday",16,"Casual",55,34.8023636363636
"34",2015,"December","Friday",16,"Member",572,11.2734265734266
"35",2015,"December","Friday",17,"Casual",50,57.999
"36",2015,"December","Friday",17,"Member",799,11.0002628285357
"37",2015,"December","Friday",18,"Casual",31,21.0703225806452
"38",2015,"December","Friday",18,"Member",671,10.708912071535
"39",2015,"December","Friday",19,"Casual",31,38.3703225806452
"40",2015,"December","Friday",19,"Member",419,10.8096897374702
"41",2015,"December","Friday",20,"Casual",23,34.9434782608696
"42",2015,"December","Friday",20,"Member",258,10.3086046511628
"43",2015,"December","Friday",21,"Casual",20,39.5
"44",2015,"December","Friday",21,"Member",202,9.39376237623762
"45",2015,"December","Friday",22,"Casual",27,23.6992592592593
"46",2015,"December","Friday",22,"Member",157,9.72191082802548
"47",2015,"December","Friday",23,"Casual",8,16.4625
"48",2015,"December","Friday",23,"Member",113,10.6030088495575
"49",2015,"December","Monday",0,"Casual",6,16.51
"50",2015,"December","Monday",0,"Member",29,7.84379310344828
"51",2015,"December","Monday",1,"Casual",6,13.6566666666667
"52",2015,"December","Monday",1,"Member",15,8.72733333333333
"53",2015,"December","Monday",2,"Casual",3,21.4966666666667
"54",2015,"December","Monday",2,"Member",10,8.988
"55",2015,"December","Monday",4,"Member",8,13.85125
"56",2015,"December","Monday",5,"Member",64,10.598125
"57",2015,"December","Monday",6,"Member",224,9.15008928571429
